rank,k_eff,cost_usd_per_kg,density_g_per_cm3,num_components,total_mass_g,porosity_pct,masses_json,display_line
126,0.0001,5.3,0.16,4,254.25,87.4,"{""ceramic_fiber"": 110.28, ""fumed_silica"": 19.43, ""graphene"": 0.92, ""gypsum"": 123.47}",126. k=0.00010 | $5.30/kg | 4 comp
127,0.0001,5.3,0.1603,4,252.79,87.4,"{""ceramic_fiber"": 109.05, ""fumed_silica"": 19.8, ""graphene"": 0.92, ""gypsum"": 122.85}",127. k=0.00010 | $5.30/kg | 4 comp
128,0.0001,5.3,0.1605,4,284.03,87.4,"{""ceramic_fiber"": 122.26, ""fumed_silica"": 22.43, ""graphene"": 1.03, ""gypsum"": 138.15}",128. k=0.00010 | $5.30/kg | 4 comp
129,0.0001,5.31,0.1504,4,255.22,87.9,"{""ceramic_fiber"": 120.21, ""fumed_silica"": 13.57, ""graphene"": 0.95, ""gypsum"": 120.03}",129. k=0.00010 | $5.31/kg | 4 comp
130,0.0001,5.31,0.1541,4,247.35,87.7,"{""ceramic_fiber"": 112.12, ""fumed_silica"": 16.21, ""graphene"": 0.9, ""gypsum"": 117.97}",130. k=0.00010 | $5.31/kg | 4 comp
131,0.0001,5.31,0.1557,4,244.04,87.6,"{""ceramic_fiber"": 109.71, ""fumed_silica"": 16.33, ""graphene"": 0.95, ""gypsum"": 116.88}",131. k=0.00010 | $5.31/kg | 4 comp
132,0.0001,5.31,0.1563,4,260.88,87.6,"{""ceramic_fiber"": 116.92, ""fumed_silica"": 17.6, ""graphene"": 1.02, ""gypsum"": 125.19}",132. k=0.00010 | $5.31/kg | 4 comp
133,0.0001,5.31,0.1566,4,244.22,87.6,"{""ceramic_fiber"": 109.16, ""fumed_silica"": 16.68, ""graphene"": 0.94, ""gypsum"": 117.3}",133. k=0.00010 | $5.31/kg | 4 comp
134,0.0001,5.31,0.1566,4,277.37,87.6,"{""ceramic_fiber"": 123.1, ""fumed_silica"": 19.79, ""graphene"": 0.99, ""gypsum"": 133.33}",134. k=0.00010 | $5.31/kg | 4 comp
135,0.0001,5.31,0.1572,4,262.4,87.6,"{""ceramic_fiber"": 116.24, ""fumed_silica"": 18.68, ""graphene"": 0.96, ""gypsum"": 126.36}",135. k=0.00010 | $5.31/kg | 4 comp
136,0.0001,5.31,0.1575,4,242.99,87.5,"{""ceramic_fiber"": 107.84, ""fumed_silica"": 17.03, ""graphene"": 0.92, ""gypsum"": 117.05}",136. k=0.00010 | $5.31/kg | 4 comp
137,0.0001,5.31,0.1584,4,248.63,87.5,"{""ceramic_fiber"": 108.89, ""fumed_silica"": 18.52, ""graphene"": 0.93, ""gypsum"": 120.13}",137. k=0.00010 | $5.31/kg | 4 comp
138,0.0001,5.31,0.1601,4,256.12,87.4,"{""ceramic_fiber"": 110.39, ""fumed_silica"": 20.24, ""graphene"": 0.94, ""gypsum"": 124.4}",138. k=0.00010 | $5.31/kg | 4 comp
139,0.0001,5.31,0.1605,4,246.71,87.4,"{""ceramic_fiber"": 106.44, ""fumed_silica"": 19.25, ""graphene"": 0.96, ""gypsum"": 119.87}",139. k=0.00010 | $5.31/kg | 4 comp
140,0.0001,5.31,0.1631,4,244.74,87.2,"{""ceramic_fiber"": 102.85, ""fumed_silica"": 20.88, ""graphene"": 0.91, ""gypsum"": 119.95}",140. k=0.00010 | $5.31/kg | 4 comp
141,0.0001,5.31,0.1636,4,251.4,87.2,"{""ceramic_fiber"": 104.3, ""fumed_silica"": 22.58, ""graphene"": 0.9, ""gypsum"": 123.45}",141. k=0.00010 | $5.31/kg | 4 comp
142,0.0001,5.31,0.1657,4,260.8,87.1,"{""ceramic_fiber"": 107.13, ""fumed_silica"": 23.78, ""graphene"": 0.96, ""gypsum"": 128.78}",142. k=0.00010 | $5.31/kg | 4 comp
143,0.0001,5.32,0.1539,4,267.44,87.7,"{""ceramic_fiber"": 121.23, ""fumed_silica"": 17.58, ""graphene"": 1.02, ""gypsum"": 127.46}",143. k=0.00010 | $5.32/kg | 4 comp
144,0.0001,5.32,0.154,4,247.67,87.7,"{""ceramic_fiber"": 112.79, ""fumed_silica"": 15.72, ""graphene"": 0.96, ""gypsum"": 118.05}",144. k=0.00010 | $5.32/kg | 4 comp
145,0.0001,5.32,0.1541,4,267.39,87.7,"{""ceramic_fiber"": 121.35, ""fumed_silica"": 17.34, ""graphene"": 1.01, ""gypsum"": 127.51}",145. k=0.00010 | $5.32/kg | 4 comp
146,0.0001,5.32,0.1551,4,245.96,87.7,"{""ceramic_fiber"": 110.9, ""fumed_silica"": 16.35, ""graphene"": 0.95, ""gypsum"": 117.62}",146. k=0.00010 | $5.32/kg | 4 comp
147,0.0001,5.32,0.1579,4,233.98,87.5,"{""ceramic_fiber"": 103.29, ""fumed_silica"": 16.79, ""graphene"": 0.95, ""gypsum"": 112.79}",147. k=0.00010 | $5.32/kg | 4 comp
148,0.0001,5.32,0.158,4,232.48,87.5,"{""ceramic_fiber"": 102.57, ""fumed_silica"": 16.71, ""graphene"": 0.94, ""gypsum"": 112.11}",148. k=0.00010 | $5.32/kg | 4 comp
149,0.0001,5.32,0.1581,4,233.87,87.5,"{""ceramic_fiber"": 102.77, ""fumed_silica"": 17.16, ""graphene"": 0.94, ""gypsum"": 112.8}",149. k=0.00010 | $5.32/kg | 4 comp
150,0.0001,5.32,0.1594,4,228.3,87.4,"{""ceramic_fiber"": 99.58, ""fumed_silica"": 17.1, ""graphene"": 0.93, ""gypsum"": 110.52}",150. k=0.00010 | $5.32/kg | 4 comp
151,0.0001,5.32,0.1601,4,240.5,87.4,"{""ceramic_fiber"": 103.53, ""fumed_silica"": 19.09, ""graphene"": 0.94, ""gypsum"": 116.78}",151. k=0.00010 | $5.32/kg | 4 comp
152,0.0001,5.32,0.1604,4,225.59,87.4,"{""ceramic_fiber"": 97.4, ""fumed_silica"": 17.56, ""graphene"": 0.91, ""gypsum"": 109.55}",152. k=0.00010 | $5.32/kg | 4 comp
153,0.0001,5.32,0.1604,4,232.37,87.4,"{""ceramic_fiber"": 100.01, ""fumed_silica"": 18.4, ""graphene"": 0.92, ""gypsum"": 112.9}",153. k=0.00010 | $5.32/kg | 4 comp
154,0.0001,5.32,0.1608,4,239.15,87.4,"{""ceramic_fiber"": 102.86, ""fumed_silica"": 18.89, ""graphene"": 0.97, ""gypsum"": 116.3}",154. k=0.00010 | $5.32/kg | 4 comp
155,0.0001,5.32,0.1631,4,228.56,87.2,"{""ceramic_fiber"": 95.99, ""fumed_silica"": 19.58, ""graphene"": 0.9, ""gypsum"": 111.92}",155. k=0.00010 | $5.32/kg | 4 comp
156,0.0001,5.32,0.1681,4,245.86,86.9,"{""ceramic_fiber"": 98.45, ""fumed_silica"": 24.08, ""graphene"": 0.93, ""gypsum"": 122.25}",156. k=0.00010 | $5.32/kg | 4 comp
157,0.0001,5.33,0.1506,4,258.31,87.9,"{""ceramic_fiber"": 119.43, ""fumed_silica"": 15.87, ""graphene"": 0.93, ""gypsum"": 121.92}",157. k=0.00010 | $5.33/kg | 4 comp
158,0.0001,5.33,0.1538,4,236.75,87.7,"{""ceramic_fiber"": 107.15, ""fumed_silica"": 15.72, ""graphene"": 0.91, ""gypsum"": 112.77}",158. k=0.00010 | $5.33/kg | 4 comp
159,0.0001,5.33,0.1559,4,235.51,87.6,"{""ceramic_fiber"": 104.84, ""fumed_silica"": 16.67, ""graphene"": 0.95, ""gypsum"": 112.86}",159. k=0.00010 | $5.33/kg | 4 comp
160,0.0001,5.33,0.1567,4,224.38,87.6,"{""ceramic_fiber"": 99.23, ""fumed_silica"": 16.29, ""graphene"": 0.9, ""gypsum"": 107.79}",160. k=0.00010 | $5.33/kg | 4 comp
161,0.0001,5.33,0.1574,4,232.27,87.5,"{""ceramic_fiber"": 103.18, ""fumed_silica"": 16.21, ""graphene"": 0.99, ""gypsum"": 111.74}",161. k=0.00010 | $5.33/kg | 4 comp
162,0.0001,5.33,0.159,4,221.3,87.4,"{""ceramic_fiber"": 96.1, ""fumed_silica"": 17.09, ""graphene"": 0.9, ""gypsum"": 107.01}",162. k=0.00010 | $5.33/kg | 4 comp
163,0.0001,5.33,0.1592,4,240.72,87.4,"{""ceramic_fiber"": 105.11, ""fumed_silica"": 18.0, ""graphene"": 1.02, ""gypsum"": 116.44}",163. k=0.00010 | $5.33/kg | 4 comp
164,0.0001,5.33,0.1593,4,248.57,87.4,"{""ceramic_fiber"": 108.22, ""fumed_silica"": 18.85, ""graphene"": 1.06, ""gypsum"": 120.3}",164. k=0.00010 | $5.33/kg | 4 comp
165,0.0001,5.33,0.1598,4,233.55,87.4,"{""ceramic_fiber"": 100.19, ""fumed_silica"": 18.99, ""graphene"": 0.9, ""gypsum"": 113.3}",165. k=0.00010 | $5.33/kg | 4 comp
166,0.0001,5.33,0.162,4,225.03,87.3,"{""ceramic_fiber"": 95.52, ""fumed_silica"": 18.54, ""graphene"": 0.92, ""gypsum"": 109.79}",166. k=0.00010 | $5.33/kg | 4 comp
167,0.0001,5.33,0.1629,4,226.31,87.2,"{""ceramic_fiber"": 95.02, ""fumed_silica"": 19.47, ""graphene"": 0.91, ""gypsum"": 110.75}",167. k=0.00010 | $5.33/kg | 4 comp
168,0.0001,5.33,0.1644,4,239.41,87.2,"{""ceramic_fiber"": 98.94, ""fumed_silica"": 21.65, ""graphene"": 0.94, ""gypsum"": 117.73}",168. k=0.00010 | $5.33/kg | 4 comp
169,0.0001,5.34,0.1553,4,222.68,87.7,"{""ceramic_fiber"": 100.52, ""fumed_silica"": 14.62, ""graphene"": 0.98, ""gypsum"": 106.41}",169. k=0.00010 | $5.34/kg | 4 comp
170,0.0001,5.34,0.1561,4,223.8,87.6,"{""ceramic_fiber"": 100.39, ""fumed_silica"": 15.05, ""graphene"": 0.98, ""gypsum"": 107.2}",170. k=0.00010 | $5.34/kg | 4 comp
171,0.0001,5.34,0.1563,4,224.16,87.6,"{""ceramic_fiber"": 100.4, ""fumed_silica"": 15.18, ""graphene"": 1.02, ""gypsum"": 107.41}",171. k=0.00010 | $5.34/kg | 4 comp
172,0.0001,5.34,0.1568,4,215.86,87.6,"{""ceramic_fiber"": 95.8, ""fumed_silica"": 15.35, ""graphene"": 0.9, ""gypsum"": 103.33}",172. k=0.00010 | $5.34/kg | 4 comp
173,0.0001,5.34,0.161,4,239.07,87.3,"{""ceramic_fiber"": 102.03, ""fumed_silica"": 19.56, ""graphene"": 1.03, ""gypsum"": 116.3}",173. k=0.00010 | $5.34/kg | 4 comp
174,0.0001,5.34,0.1616,4,218.6,87.3,"{""ceramic_fiber"": 92.69, ""fumed_silica"": 18.27, ""graphene"": 0.93, ""gypsum"": 106.54}",174. k=0.00010 | $5.34/kg | 4 comp
175,0.0001,5.34,0.1617,4,217.51,87.3,"{""ceramic_fiber"": 92.41, ""fumed_silica"": 17.99, ""graphene"": 0.95, ""gypsum"": 106.02}",175. k=0.00010 | $5.34/kg | 4 comp
176,0.0001,5.34,0.1619,4,237.86,87.3,"{""ceramic_fiber"": 101.15, ""fumed_silica"": 19.56, ""graphene"": 1.04, ""gypsum"": 115.98}",176. k=0.00010 | $5.34/kg | 4 comp
177,0.0001,5.34,0.1619,4,208.54,87.3,"{""ceramic_fiber"": 88.41, ""fumed_silica"": 17.38, ""graphene"": 0.91, ""gypsum"": 101.75}",177. k=0.00010 | $5.34/kg | 4 comp
178,0.0001,5.34,0.1619,4,220.59,87.3,"{""ceramic_fiber"": 92.76, ""fumed_silica"": 19.12, ""graphene"": 0.9, ""gypsum"": 107.64}",178. k=0.00010 | $5.34/kg | 4 comp
179,0.0001,5.34,0.1621,4,207.24,87.3,"{""ceramic_fiber"": 87.6, ""fumed_silica"": 17.46, ""graphene"": 0.9, ""gypsum"": 101.12}",179. k=0.00010 | $5.34/kg | 4 comp
180,0.0001,5.34,0.1622,4,231.7,87.3,"{""ceramic_fiber"": 96.99, ""fumed_silica"": 20.41, ""graphene"": 0.92, ""gypsum"": 113.2}",180. k=0.00010 | $5.34/kg | 4 comp
181,0.0001,5.34,0.1624,4,215.03,87.3,"{""ceramic_fiber"": 90.7, ""fumed_silica"": 18.24, ""graphene"": 0.9, ""gypsum"": 105.06}",181. k=0.00010 | $5.34/kg | 4 comp
182,0.0001,5.34,0.1625,4,235.31,87.3,"{""ceramic_fiber"": 98.52, ""fumed_silica"": 20.64, ""graphene"": 0.93, ""gypsum"": 115.08}",182. k=0.00010 | $5.34/kg | 4 comp
183,0.0001,5.34,0.1626,4,248.64,87.2,"{""ceramic_fiber"": 103.97, ""fumed_silica"": 21.88, ""graphene"": 1.03, ""gypsum"": 121.62}",183. k=0.00010 | $5.34/kg | 4 comp
184,0.0001,5.34,0.1627,4,216.34,87.2,"{""ceramic_fiber"": 90.72, ""fumed_silica"": 18.78, ""graphene"": 0.91, ""gypsum"": 105.8}",184. k=0.00010 | $5.34/kg | 4 comp
185,0.0001,5.34,0.1635,4,214.49,87.2,"{""ceramic_fiber"": 89.04, ""fumed_silica"": 19.23, ""graphene"": 0.9, ""gypsum"": 105.11}",185. k=0.00010 | $5.34/kg | 4 comp
186,0.0001,5.34,0.1637,4,223.28,87.2,"{""ceramic_fiber"": 92.39, ""fumed_silica"": 20.27, ""graphene"": 0.92, ""gypsum"": 109.55}",186. k=0.00010 | $5.34/kg | 4 comp
187,0.0001,5.35,0.158,4,204.02,87.5,"{""ceramic_fiber"": 89.2, ""fumed_silica"": 15.44, ""graphene"": 0.9, ""gypsum"": 98.31}",187. k=0.00010 | $5.35/kg | 4 comp
188,0.0001,5.35,0.16,4,211.6,87.4,"{""ceramic_fiber"": 90.52, ""fumed_silica"": 17.38, ""graphene"": 0.9, ""gypsum"": 102.62}",188. k=0.00010 | $5.35/kg | 4 comp
189,0.0001,5.35,0.1644,4,209.77,87.2,"{""ceramic_fiber"": 87.0, ""fumed_silica"": 18.67, ""graphene"": 0.93, ""gypsum"": 103.03}",189. k=0.00010 | $5.35/kg | 4 comp
190,0.0001,5.35,0.165,4,205.76,87.1,"{""ceramic_fiber"": 84.37, ""fumed_silica"": 19.07, ""graphene"": 0.9, ""gypsum"": 101.26}",190. k=0.00010 | $5.35/kg | 4 comp
191,0.0001,5.35,0.1655,4,222.41,87.1,"{""ceramic_fiber"": 89.9, ""fumed_silica"": 21.72, ""graphene"": 0.92, ""gypsum"": 109.72}",191. k=0.00010 | $5.35/kg | 4 comp
192,0.0001,5.35,0.1658,4,210.36,87.1,"{""ceramic_fiber"": 85.82, ""fumed_silica"": 19.7, ""graphene"": 0.91, ""gypsum"": 103.77}",192. k=0.00010 | $5.35/kg | 4 comp
193,0.0001,5.35,0.1686,4,215.49,86.9,"{""ceramic_fiber"": 85.35, ""fumed_silica"": 21.86, ""graphene"": 0.91, ""gypsum"": 107.2}",193. k=0.00010 | $5.35/kg | 4 comp
194,0.0001,5.35,0.1698,4,211.7,86.9,"{""ceramic_fiber"": 83.05, ""fumed_silica"": 21.91, ""graphene"": 0.92, ""gypsum"": 105.63}",194. k=0.00010 | $5.35/kg | 4 comp
195,0.0001,5.36,0.1576,4,211.36,87.5,"{""ceramic_fiber"": 92.11, ""fumed_silica"": 16.39, ""graphene"": 0.91, ""gypsum"": 101.79}",195. k=0.00010 | $5.36/kg | 4 comp
196,0.0001,5.36,0.1583,4,199.75,87.5,"{""ceramic_fiber"": 87.29, ""fumed_silica"": 15.06, ""graphene"": 0.94, ""gypsum"": 96.29}",196. k=0.00010 | $5.36/kg | 4 comp
197,0.0001,5.36,0.1584,4,207.85,87.5,"{""ceramic_fiber"": 89.66, ""fumed_silica"": 16.78, ""graphene"": 0.9, ""gypsum"": 100.33}",197. k=0.00010 | $5.36/kg | 4 comp
198,0.0001,5.36,0.1603,4,213.61,87.4,"{""ceramic_fiber"": 90.21, ""fumed_silica"": 18.58, ""graphene"": 0.9, ""gypsum"": 103.74}",198. k=0.00010 | $5.36/kg | 4 comp
199,0.0001,5.36,0.161,4,194.8,87.3,"{""ceramic_fiber"": 83.17, ""fumed_silica"": 15.91, ""graphene"": 0.92, ""gypsum"": 94.65}",199. k=0.00010 | $5.36/kg | 4 comp
200,0.0001,5.36,0.1632,4,214.27,87.2,"{""ceramic_fiber"": 88.3, ""fumed_silica"": 19.95, ""graphene"": 0.9, ""gypsum"": 104.96}",200. k=0.00010 | $5.36/kg | 4 comp
201,0.0001,5.36,0.1633,4,201.06,87.2,"{""ceramic_fiber"": 83.99, ""fumed_silica"": 17.57, ""graphene"": 0.94, ""gypsum"": 98.37}",201. k=0.00010 | $5.36/kg | 4 comp
202,0.0001,5.36,0.1638,4,204.61,87.2,"{""ceramic_fiber"": 85.33, ""fumed_silica"": 17.9, ""graphene"": 0.97, ""gypsum"": 100.22}",202. k=0.00010 | $5.36/kg | 4 comp
203,0.0001,5.36,0.1673,4,196.33,87.0,"{""ceramic_fiber"": 78.94, ""fumed_silica"": 19.14, ""graphene"": 0.9, ""gypsum"": 97.22}",203. k=0.00010 | $5.36/kg | 4 comp
204,0.0001,5.37,0.1579,4,214.61,87.5,"{""ceramic_fiber"": 93.6, ""fumed_silica"": 16.51, ""graphene"": 1.02, ""gypsum"": 103.39}",204. k=0.00010 | $5.37/kg | 4 comp
205,0.0001,5.37,0.158,4,198.41,87.5,"{""ceramic_fiber"": 86.05, ""fumed_silica"": 15.69, ""graphene"": 0.9, ""gypsum"": 95.62}",205. k=0.00010 | $5.37/kg | 4 comp
206,0.0001,5.37,0.1606,4,196.4,87.4,"{""ceramic_fiber"": 83.75, ""fumed_silica"": 16.25, ""graphene"": 0.92, ""gypsum"": 95.35}",206. k=0.00010 | $5.37/kg | 4 comp
207,0.0001,5.37,0.1629,4,198.03,87.2,"{""ceramic_fiber"": 83.26, ""fumed_silica"": 16.94, ""graphene"": 0.96, ""gypsum"": 96.79}",207. k=0.00010 | $5.37/kg | 4 comp
208,0.0001,5.37,0.1632,4,188.39,87.2,"{""ceramic_fiber"": 78.91, ""fumed_silica"": 16.29, ""graphene"": 0.92, ""gypsum"": 92.09}",208. k=0.00010 | $5.37/kg | 4 comp
209,0.0001,5.37,0.1633,4,207.15,87.2,"{""ceramic_fiber"": 85.69, ""fumed_silica"": 18.92, ""graphene"": 0.96, ""gypsum"": 101.37}",209. k=0.00010 | $5.37/kg | 4 comp
210,0.0001,5.37,0.1645,4,203.05,87.1,"{""ceramic_fiber"": 83.29, ""fumed_silica"": 18.9, ""graphene"": 0.94, ""gypsum"": 99.72}",210. k=0.00010 | $5.37/kg | 4 comp
211,0.0001,5.37,0.1646,4,182.26,87.1,"{""ceramic_fiber"": 75.49, ""fumed_silica"": 16.24, ""graphene"": 0.92, ""gypsum"": 89.44}",211. k=0.00010 | $5.37/kg | 4 comp
212,0.0001,5.37,0.1654,4,205.16,87.1,"{""ceramic_fiber"": 83.89, ""fumed_silica"": 19.13, ""graphene"": 1.0, ""gypsum"": 100.97}",212. k=0.00010 | $5.37/kg | 4 comp
213,0.0001,5.37,0.1667,4,200.51,87.0,"{""ceramic_fiber"": 80.89, ""fumed_silica"": 19.41, ""graphene"": 0.94, ""gypsum"": 99.1}",213. k=0.00010 | $5.37/kg | 4 comp
214,0.0001,5.37,0.1669,4,207.9,87.0,"{""ceramic_fiber"": 83.82, ""fumed_silica"": 20.12, ""graphene"": 0.98, ""gypsum"": 102.83}",214. k=0.00010 | $5.37/kg | 4 comp
215,0.0001,5.37,0.1682,4,201.35,86.9,"{""ceramic_fiber"": 80.06, ""fumed_silica"": 20.23, ""graphene"": 0.96, ""gypsum"": 100.0}",215. k=0.00010 | $5.37/kg | 4 comp
216,0.0001,5.37,0.1689,4,188.27,86.9,"{""ceramic_fiber"": 74.74, ""fumed_silica"": 18.85, ""graphene"": 0.91, ""gypsum"": 93.59}",216. k=0.00010 | $5.37/kg | 4 comp
217,0.0001,5.37,0.1699,4,197.27,86.8,"{""ceramic_fiber"": 76.94, ""fumed_silica"": 20.82, ""graphene"": 0.91, ""gypsum"": 98.41}",217. k=0.00010 | $5.37/kg | 4 comp
218,0.0001,5.38,0.1562,4,200.44,87.6,"{""ceramic_fiber"": 88.29, ""fumed_silica"": 15.02, ""graphene"": 0.96, ""gypsum"": 96.01}",218. k=0.00010 | $5.38/kg | 4 comp
219,0.0001,5.38,0.1604,4,213.94,87.4,"{""ceramic_fiber"": 89.71, ""fumed_silica"": 19.2, ""graphene"": 0.91, ""gypsum"": 103.99}",219. k=0.00010 | $5.38/kg | 4 comp
220,0.0001,5.38,0.1608,4,194.45,87.3,"{""ceramic_fiber"": 82.05, ""fumed_silica"": 16.83, ""graphene"": 0.9, ""gypsum"": 94.5}",220. k=0.00010 | $5.38/kg | 4 comp
221,0.0001,5.38,0.163,4,181.11,87.2,"{""ceramic_fiber"": 76.08, ""fumed_silica"": 15.5, ""graphene"": 0.94, ""gypsum"": 88.45}",221. k=0.00010 | $5.38/kg | 4 comp
222,0.0001,5.38,0.1633,4,195.79,87.2,"{""ceramic_fiber"": 81.04, ""fumed_silica"": 17.84, ""graphene"": 0.93, ""gypsum"": 95.79}",222. k=0.00010 | $5.38/kg | 4 comp
223,0.0001,5.38,0.1634,4,193.08,87.2,"{""ceramic_fiber"": 80.32, ""fumed_silica"": 17.18, ""graphene"": 0.97, ""gypsum"": 94.49}",223. k=0.00010 | $5.38/kg | 4 comp
224,0.0001,5.38,0.1642,4,191.44,87.2,"{""ceramic_fiber"": 78.63, ""fumed_silica"": 17.79, ""graphene"": 0.93, ""gypsum"": 93.88}",224. k=0.00010 | $5.38/kg | 4 comp
225,0.0001,5.38,0.165,4,201.83,87.1,"{""ceramic_fiber"": 81.19, ""fumed_silica"": 20.19, ""graphene"": 0.9, ""gypsum"": 99.37}",225. k=0.00010 | $5.38/kg | 4 comp
226,0.0001,5.38,0.1676,4,193.75,87.0,"{""ceramic_fiber"": 76.66, ""fumed_silica"": 19.98, ""graphene"": 0.9, ""gypsum"": 96.07}",226. k=0.00010 | $5.38/kg | 4 comp
227,0.0001,5.38,0.1677,4,188.33,87.0,"{""ceramic_fiber"": 75.17, ""fumed_silica"": 18.77, ""graphene"": 0.92, ""gypsum"": 93.3}",227. k=0.00010 | $5.38/kg | 4 comp
228,0.0001,5.38,0.1702,4,203.58,86.8,"{""ceramic_fiber"": 78.39, ""fumed_silica"": 22.4, ""graphene"": 0.91, ""gypsum"": 101.71}",228. k=0.00010 | $5.38/kg | 4 comp
229,0.0001,5.38,0.1711,4,188.07,86.8,"{""ceramic_fiber"": 72.48, ""fumed_silica"": 20.4, ""graphene"": 0.91, ""gypsum"": 94.09}",229. k=0.00010 | $5.38/kg | 4 comp
230,0.0001,5.39,0.158,4,198.84,87.5,"{""ceramic_fiber"": 85.16, ""fumed_silica"": 16.74, ""graphene"": 0.9, ""gypsum"": 95.88}",230. k=0.00010 | $5.39/kg | 4 comp
231,0.0001,5.39,0.1621,4,175.24,87.3,"{""ceramic_fiber"": 73.35, ""fumed_silica"": 15.39, ""graphene"": 0.9, ""gypsum"": 85.37}",231. k=0.00010 | $5.39/kg | 4 comp
232,0.0001,5.39,0.163,4,180.62,87.2,"{""ceramic_fiber"": 75.11, ""fumed_silica"": 16.18, ""graphene"": 0.9, ""gypsum"": 88.26}",232. k=0.00010 | $5.39/kg | 4 comp
233,0.0001,5.39,0.1646,4,170.9,87.1,"{""ceramic_fiber"": 70.7, ""fumed_silica"": 15.31, ""graphene"": 0.92, ""gypsum"": 83.79}",233. k=0.00010 | $5.39/kg | 4 comp
234,0.0001,5.39,0.165,4,182.19,87.1,"{""ceramic_fiber"": 75.18, ""fumed_silica"": 16.42, ""graphene"": 0.98, ""gypsum"": 89.44}",234. k=0.00010 | $5.39/kg | 4 comp
235,0.0001,5.39,0.1662,4,180.76,87.0,"{""ceramic_fiber"": 72.64, ""fumed_silica"": 17.87, ""graphene"": 0.9, ""gypsum"": 89.17}",235. k=0.00010 | $5.39/kg | 4 comp
236,0.0001,5.39,0.1663,4,192.18,87.0,"{""ceramic_fiber"": 77.46, ""fumed_silica"": 18.76, ""graphene"": 0.97, ""gypsum"": 94.82}",236. k=0.00010 | $5.39/kg | 4 comp
237,0.0001,5.39,0.1667,4,191.17,87.0,"{""ceramic_fiber"": 77.48, ""fumed_silica"": 18.17, ""graphene"": 1.01, ""gypsum"": 94.33}",237. k=0.00010 | $5.39/kg | 4 comp
238,0.0001,5.39,0.1684,4,186.64,86.9,"{""ceramic_fiber"": 73.58, ""fumed_silica"": 19.3, ""graphene"": 0.93, ""gypsum"": 92.64}",238. k=0.00010 | $5.39/kg | 4 comp
239,0.0001,5.39,0.1704,4,179.38,86.8,"{""ceramic_fiber"": 69.73, ""fumed_silica"": 19.03, ""graphene"": 0.9, ""gypsum"": 89.54}",239. k=0.00010 | $5.39/kg | 4 comp
240,0.0001,5.39,0.171,4,186.72,86.8,"{""ceramic_fiber"": 71.74, ""fumed_silica"": 20.49, ""graphene"": 0.9, ""gypsum"": 93.41}",240. k=0.00010 | $5.39/kg | 4 comp
241,0.0001,5.39,0.172,4,177.75,86.7,"{""ceramic_fiber"": 68.23, ""fumed_silica"": 19.35, ""graphene"": 0.91, ""gypsum"": 89.11}",241. k=0.00010 | $5.39/kg | 4 comp
242,0.0001,5.4,0.1624,4,179.65,87.3,"{""ceramic_fiber"": 74.83, ""fumed_silica"": 16.11, ""graphene"": 0.92, ""gypsum"": 87.62}",242. k=0.00010 | $5.40/kg | 4 comp
243,0.0001,5.4,0.1661,4,183.18,87.1,"{""ceramic_fiber"": 73.45, ""fumed_silica"": 18.3, ""graphene"": 0.91, ""gypsum"": 90.34}",243. k=0.00010 | $5.40/kg | 4 comp
244,0.0001,5.4,0.1661,4,181.53,87.1,"{""ceramic_fiber"": 74.01, ""fumed_silica"": 16.97, ""graphene"": 1.0, ""gypsum"": 89.37}",244. k=0.00010 | $5.40/kg | 4 comp
245,0.0001,5.4,0.1669,4,174.66,87.0,"{""ceramic_fiber"": 70.58, ""fumed_silica"": 16.74, ""graphene"": 0.96, ""gypsum"": 86.22}",245. k=0.00010 | $5.40/kg | 4 comp
246,0.0001,5.4,0.1673,4,166.75,87.0,"{""ceramic_fiber"": 67.27, ""fumed_silica"": 16.0, ""graphene"": 0.91, ""gypsum"": 82.39}",246. k=0.00010 | $5.40/kg | 4 comp
247,0.0001,5.4,0.1677,4,190.96,87.0,"{""ceramic_fiber"": 75.03, ""fumed_silica"": 20.15, ""graphene"": 0.93, ""gypsum"": 94.67}",247. k=0.00010 | $5.40/kg | 4 comp
248,0.0001,5.4,0.1681,4,176.05,86.9,"{""ceramic_fiber"": 69.71, ""fumed_silica"": 17.99, ""graphene"": 0.92, ""gypsum"": 87.24}",248. k=0.00010 | $5.40/kg | 4 comp
249,0.0001,5.4,0.1694,4,174.32,86.9,"{""ceramic_fiber"": 68.15, ""fumed_silica"": 18.33, ""graphene"": 0.9, ""gypsum"": 86.72}",249. k=0.00010 | $5.40/kg | 4 comp
250,0.0001,5.4,0.172,4,190.42,86.7,"{""ceramic_fiber"": 71.91, ""fumed_silica"": 21.91, ""graphene"": 0.91, ""gypsum"": 95.63}",250. k=0.00010 | $5.40/kg | 4 comp
251,0.0001,5.41,0.1645,4,178.97,87.1,"{""ceramic_fiber"": 72.72, ""fumed_silica"": 17.32, ""graphene"": 0.93, ""gypsum"": 87.82}",251. k=0.00010 | $5.41/kg | 4 comp
252,0.0001,5.41,0.1648,4,183.43,87.1,"{""ceramic_fiber"": 74.35, ""fumed_silica"": 17.86, ""graphene"": 0.95, ""gypsum"": 90.11}",252. k=0.00010 | $5.41/kg | 4 comp
253,0.0001,5.41,0.1649,4,173.32,87.1,"{""ceramic_fiber"": 70.65, ""fumed_silica"": 16.44, ""graphene"": 0.93, ""gypsum"": 85.15}",253. k=0.00010 | $5.41/kg | 4 comp
