rank,k_eff,cost_usd_per_kg,density_g_per_cm3,num_components,total_mass_g,porosity_pct,masses_json,display_line
26,0.0001,5.25,0.1496,4,350.45,88.0,"{""ceramic_fiber"": 166.28, ""fumed_silica"": 17.92, ""graphene"": 0.94, ""gypsum"": 165.15}",26. k=0.00010 | $5.25/kg | 4 comp
27,0.0001,5.25,0.1501,4,379.01,88.0,"{""ceramic_fiber"": 178.68, ""fumed_silica"": 20.26, ""graphene"": 1.0, ""gypsum"": 178.9}",27. k=0.00010 | $5.25/kg | 4 comp
28,0.0001,5.25,0.1505,4,341.95,87.9,"{""ceramic_fiber"": 160.68, ""fumed_silica"": 18.61, ""graphene"": 0.9, ""gypsum"": 161.64}",28. k=0.00010 | $5.25/kg | 4 comp
29,0.0001,5.25,0.1507,4,350.97,87.9,"{""ceramic_fiber"": 165.27, ""fumed_silica"": 18.66, ""graphene"": 0.95, ""gypsum"": 165.94}",29. k=0.00010 | $5.25/kg | 4 comp
30,0.0001,5.25,0.1513,4,359.18,87.9,"{""ceramic_fiber"": 167.66, ""fumed_silica"": 20.24, ""graphene"": 0.94, ""gypsum"": 170.15}",30. k=0.00010 | $5.25/kg | 4 comp
31,0.0001,5.25,0.1517,4,359.81,87.9,"{""ceramic_fiber"": 167.81, ""fumed_silica"": 20.18, ""graphene"": 0.98, ""gypsum"": 170.66}",31. k=0.00010 | $5.25/kg | 4 comp
32,0.0001,5.25,0.1523,4,333.69,87.8,"{""ceramic_fiber"": 154.71, ""fumed_silica"": 19.36, ""graphene"": 0.9, ""gypsum"": 158.58}",32. k=0.00010 | $5.25/kg | 4 comp
33,0.0001,5.25,0.1523,4,359.99,87.8,"{""ceramic_fiber"": 166.99, ""fumed_silica"": 20.81, ""graphene"": 0.98, ""gypsum"": 171.05}",33. k=0.00010 | $5.25/kg | 4 comp
34,0.0001,5.25,0.1526,4,321.9,87.8,"{""ceramic_fiber"": 149.38, ""fumed_silica"": 18.4, ""graphene"": 0.9, ""gypsum"": 153.08}",34. k=0.00010 | $5.25/kg | 4 comp
35,0.0001,5.25,0.1544,4,351.27,87.7,"{""ceramic_fiber"": 160.04, ""fumed_silica"": 22.11, ""graphene"": 0.93, ""gypsum"": 168.05}",35. k=0.00010 | $5.25/kg | 4 comp
36,0.0001,5.25,0.1556,4,340.72,87.6,"{""ceramic_fiber"": 153.92, ""fumed_silica"": 22.16, ""graphene"": 0.93, ""gypsum"": 163.56}",36. k=0.00010 | $5.25/kg | 4 comp
37,0.0001,5.25,0.1558,4,336.14,87.6,"{""ceramic_fiber"": 151.73, ""fumed_silica"": 21.9, ""graphene"": 0.93, ""gypsum"": 161.41}",37. k=0.00010 | $5.25/kg | 4 comp
38,0.0001,5.26,0.1463,4,374.44,88.2,"{""ceramic_fiber"": 181.35, ""fumed_silica"": 17.28, ""graphene"": 0.97, ""gypsum"": 174.67}",38. k=0.00010 | $5.26/kg | 4 comp
39,0.0001,5.26,0.148,4,327.09,88.1,"{""ceramic_fiber"": 156.75, ""fumed_silica"": 15.95, ""graphene"": 0.9, ""gypsum"": 153.32}",39. k=0.00010 | $5.26/kg | 4 comp
40,0.0001,5.26,0.1482,4,341.88,88.1,"{""ceramic_fiber"": 163.18, ""fumed_silica"": 17.22, ""graphene"": 0.9, ""gypsum"": 160.43}",40. k=0.00010 | $5.26/kg | 4 comp
41,0.0001,5.26,0.1484,4,344.64,88.0,"{""ceramic_fiber"": 164.79, ""fumed_silica"": 16.97, ""graphene"": 0.96, ""gypsum"": 161.74}",41. k=0.00010 | $5.26/kg | 4 comp
42,0.0001,5.26,0.1484,4,344.75,88.0,"{""ceramic_fiber"": 164.03, ""fumed_silica"": 17.75, ""graphene"": 0.9, ""gypsum"": 161.91}",42. k=0.00010 | $5.26/kg | 4 comp
43,0.0001,5.26,0.1495,4,323.42,88.0,"{""ceramic_fiber"": 153.78, ""fumed_silica"": 16.28, ""graphene"": 0.92, ""gypsum"": 152.29}",43. k=0.00010 | $5.26/kg | 4 comp
44,0.0001,5.26,0.1496,4,320.77,88.0,"{""ceramic_fiber"": 152.25, ""fumed_silica"": 16.36, ""graphene"": 0.93, ""gypsum"": 151.1}",44. k=0.00010 | $5.26/kg | 4 comp
45,0.0001,5.26,0.1499,4,336.74,88.0,"{""ceramic_fiber"": 159.83, ""fumed_silica"": 17.06, ""graphene"": 1.01, ""gypsum"": 158.67}",45. k=0.00010 | $5.26/kg | 4 comp
46,0.0001,5.26,0.15,4,324.22,88.0,"{""ceramic_fiber"": 152.97, ""fumed_silica"": 17.16, ""graphene"": 0.94, ""gypsum"": 152.85}",46. k=0.00010 | $5.26/kg | 4 comp
47,0.0001,5.26,0.1502,4,326.21,87.9,"{""ceramic_fiber"": 154.05, ""fumed_silica"": 17.11, ""graphene"": 0.92, ""gypsum"": 153.97}",47. k=0.00010 | $5.26/kg | 4 comp
48,0.0001,5.26,0.1508,4,323.83,87.9,"{""ceramic_fiber"": 152.51, ""fumed_silica"": 17.15, ""graphene"": 0.94, ""gypsum"": 153.07}",48. k=0.00010 | $5.26/kg | 4 comp
49,0.0001,5.26,0.1509,4,342.53,87.9,"{""ceramic_fiber"": 160.5, ""fumed_silica"": 18.91, ""graphene"": 0.92, ""gypsum"": 162.06}",49. k=0.00010 | $5.26/kg | 4 comp
50,0.0001,5.26,0.1519,4,311.2,87.9,"{""ceramic_fiber"": 145.06, ""fumed_silica"": 17.46, ""graphene"": 0.91, ""gypsum"": 147.65}",50. k=0.00010 | $5.26/kg | 4 comp
51,0.0001,5.26,0.1529,4,319.48,87.8,"{""ceramic_fiber"": 147.13, ""fumed_silica"": 19.23, ""graphene"": 0.91, ""gypsum"": 152.06}",51. k=0.00010 | $5.26/kg | 4 comp
52,0.0001,5.26,0.1537,4,322.49,87.7,"{""ceramic_fiber"": 147.99, ""fumed_silica"": 19.54, ""graphene"": 0.95, ""gypsum"": 153.85}",52. k=0.00010 | $5.26/kg | 4 comp
